"cname","al_ethnic2000","al_language2000","al_religion2000","wdi_gdpcapgr","pwt_hci","wdi_pop","wdi_mortinf","vdem_corr","ht_region","log_pop"
"Suriname",0.7332,0.3309897,0.7909842,1.54051769500568,NA,623164,15.7,0.205,10,13.342565005503
"Eswatini",0.0582,0.1722421,0.4444444,-0.62889403651431,1.86235070228577,1218917,44.6,0.555,4,14.0134733175481
"Sweden",0.059993649765273,0.196756,0.2341923,0.568648782156174,3.48372411727905,10486941,2,0.01,5,16.1656413267876
"Switzerland",0.5314,0.544095,0.6083014,2.1924092887961,3.73337984085083,8777088,3.5,0.019,5,15.9876552477288
"Syrian Arab Republic (the)",0.539922,0.1816702,0.4309792,-3.00434829701605,2.68029689788818,22462173,19.5,0.917,3,16.927343252372
"Tajikistan",0.510718,0.5473368,0.3385717,5.71622455034235,3.12118911743164,10182222,23.1,0.847,1,16.1361538163888
"Thailand",0.633824,0.634444,0.099422,2.56894316437668,2.82910394668579,71735329,8.3,0.674,7,18.0884939178288
"Togo",0.709928,0.8980154,0.6595591,3.82282707918289,2.12531304359436,9089738,36.9,0.732,4,16.022656642856
"Tonga",0.086902,0.3782248,0.6214,-1.71112661451836,NA,105042,8.2,NA,9,11.562115549161
"Trinidad and Tobago",0.64753,0.1251202,0.7936096,0.990715463329252,3.09995436668396,1365805,17.6,0.085,10,14.1272545563605
"United Arab Emirates (the)",0.6252,0.4873689,0.3310381,2.18063316393284,3.29919362068176,10074977,4.2,0.116,3,16.125565382916
"Tunisia",0.0394000000000001,0.012422,0.0103731,2.15276458662672,2.79117250442505,12119334,11.5,0.415,3,16.3103125866006
"Turkey",0.32,0.2216339,0.0048609,4.40815937187469,2.59900760650635,84979913,8,0.847,3,18.2579254688801
"Turkmenistan",0.391834,0.3983544,0.232719,4.17079684424029,NA,7230193,32,0.909,1,15.7937762881078
"Tuvalu",0.162936,0.1371742,0.2524005,2.71261925845695,NA,9992,17.7,NA,9,9.20954005180541
"Uganda",0.930175,0.9226795,0.6332101,1.48927085105888,2.62941098213196,47312719,28.7,0.716,4,17.6722897179491
"Ukraine",0.473672,0.4741077,0.6156578,-22.7456813021158,3.31589460372925,41048766,8,0.595,1,17.5302713325095
"North Macedonia",0.502258,0.5020711,0.5899174,3.06193588427661,NA,1831712,3.6,0.722,1,14.420761606618
"Egypt",0.183592,0.023699,0.19788,5.01555864991792,2.80485892295837,112618250,16.7,0.713,3,18.5395143386894
"United Kingdom of Great Britain and Northern Ireland (the)",0.121059,0.0531693,0.6944025,4.18537017111771,3.82441544532776,67604000,3.9,0.053,5,18.0291777108603
"Tanzania, the United Republic of",0.735296,0.8982636,0.6334385,1.54299792361155,1.75561130046844,64711821,31.2,0.252,4,17.985454447574
"United States of America (the)",0.490111130469376,0.25137066389756,0.8240782,1.92386172918107,3.81364345550537,334017321,5.5,0.059,5,19.6267034088778
"Burkina Faso",0.737738,0.7227772,0.5797988,-0.693015914774818,1.34470093250275,22509038,46.1,0.438,4,16.9294274754082
"Uruguay",0.2504,0.0817223,0.3548297,4.66439124923403,3.00021004676819,3390913,5.6,0.083,2,15.03660976463
"Uzbekistan",0.412514,0.4119866,0.2132638,3.89199511169356,NA,34938955,13.1,0.826,1,17.3691129538085
"Venezuela (Bolivarian Republic of)",0.4966,0.0685801,0.1350304,8.09588326352406,3.04006600379944,28213017,21.5,0.971,2,17.1552940251505
"Samoa",0.137608,0.0111107,0.7871165,1.56297610835598,NA,215261,13.1,NA,9,12.2796065243524
"Yemen",NA,0.00798169999999998,0.0022857,NA,2.05055284500122,38222876,35.7,0.916,3,17.4589447425063
"Zambia",0.7808,0.8734083,0.7358689,2.34336450166037,2.75889253616333,20152938,32.2,0.378,4,16.8188606421799
"Marshall Islands",0.0603379999999998,0.0600925425154739,0.52071,2.4956900977942,NA,40077,24.3,NA,9,10.5985578826579
